,Exp,ID,anomalyType,TN,FN,FP,TP,ACC,FPR,TPR,P,F1,Update_times,runtime
0,E2,0,[],100,0,0,0,1,0,0,0,0,2,3.3854291439056396
1,E2,1,[],100,0,0,0,1,0,0,0,0,2,3.3910720348358154
2,E2,2,[],100,0,0,0,1,0,0,0,0,2,3.395303964614868
3,E2,0,[0],95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,3.4213602542877197
4,E2,1,[0],100,0,0,0,1,0,0,0,0,2,3.4275362491607666
5,E2,2,[0],100,0,0,0,1,0,0,0,0,2,3.433641195297241
6,E2,0,[1],0,0,0,100,0,0,0,0,0,2,3.367839813232422
7,E2,1,[1],100,0,0,0,1,0,0,0,0,2,3.375483989715576
8,E2,2,[1],100,0,0,0,1,0,0,0,0,2,3.38313889503479
9,E2,0,[2],95,3,0,2,0.97,0.0,0.4,1.0,0.5714285714285715,2,3.0920701026916504
10,E2,1,[2],100,0,0,0,1,0,0,0,0,2,3.0996341705322266
11,E2,2,[2],100,0,0,0,1,0,0,0,0,2,3.1034271717071533
12,E2,0,"[0, 1]",95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,3.192401885986328
13,E2,1,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.1989879608154297
14,E2,2,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.203122138977051
15,E2,0,"[0, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.089724063873291
16,E2,1,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.096122980117798
17,E2,2,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.1005659103393555
18,E2,0,"[1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.1131319999694824
19,E2,1,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.1192891597747803
20,E2,2,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.123476982116699
21,E2,0,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.1195919513702393
22,E2,1,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.1259429454803467
23,E2,2,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.130159854888916
24,E2,0,[0],95,3,0,2,0.97,0.0,0.4,1.0,0.5714285714285715,2,3.104015827178955
25,E2,1,[0],100,0,0,0,1,0,0,0,0,2,3.1126410961151123
26,E2,2,[0],100,0,0,0,1,0,0,0,0,2,3.116702079772949
27,E2,0,[1],0,0,0,100,0,0,0,0,0,2,3.1238620281219482
28,E2,1,[1],100,0,0,0,1,0,0,0,0,2,3.129218101501465
29,E2,2,[1],100,0,0,0,1,0,0,0,0,2,3.1354970932006836
30,E2,0,[2],95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,3.1553521156311035
31,E2,1,[2],100,0,0,0,1,0,0,0,0,2,3.1617462635040283
32,E2,2,[2],100,0,0,0,1,0,0,0,0,2,3.168164014816284
33,E2,0,"[0, 1]",95,3,0,2,0.97,0.0,0.4,1.0,0.5714285714285715,2,3.209131956100464
34,E2,1,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.213165044784546
35,E2,2,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.2188329696655273
36,E2,0,"[0, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,3.227339029312134
37,E2,1,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.234041213989258
38,E2,2,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.2384769916534424
39,E2,0,"[1, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,3.178999185562134
40,E2,1,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.185478925704956
41,E2,2,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.1899280548095703
42,E2,0,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0690951347351074
43,E2,1,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.075345993041992
44,E2,2,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.0794358253479004
45,E2,0,[0],0,0,0,100,0,0,0,0,0,2,3.1297290325164795
46,E2,1,[0],100,0,0,0,1,0,0,0,0,2,3.1352479457855225
47,E2,2,[0],100,0,0,0,1,0,0,0,0,2,3.139612913131714
48,E2,0,[1],0,0,0,100,0,0,0,0,0,2,3.1953179836273193
49,E2,1,[1],100,0,0,0,1,0,0,0,0,2,3.199244976043701
50,E2,2,[1],100,0,0,0,1,0,0,0,0,2,3.2027571201324463
51,E2,0,[2],95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,3.1949403285980225
52,E2,1,[2],100,0,0,0,1,0,0,0,0,2,3.199697256088257
53,E2,2,[2],100,0,0,0,1,0,0,0,0,2,3.206320285797119
54,E2,0,"[0, 1]",95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,3.1204872131347656
55,E2,1,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.1267950534820557
56,E2,2,"[0, 1]",100,0,0,0,1,0,0,0,0,2,3.131221055984497
57,E2,0,"[0, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.0980842113494873
58,E2,1,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.1056759357452393
59,E2,2,"[0, 2]",100,0,0,0,1,0,0,0,0,2,3.1104092597961426
60,E2,0,"[1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.2277419567108154
61,E2,1,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.2418410778045654
62,E2,2,"[1, 2]",100,0,0,0,1,0,0,0,0,2,3.250216007232666
63,E2,0,"[0, 1, 2]",95,0,0,5,1.0,0.0,1.0,1.0,1.0,2,3.1605401039123535
64,E2,1,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.1670241355895996
65,E2,2,"[0, 1, 2]",100,0,0,0,1,0,0,0,0,2,3.1718480587005615
